"","Taxon","Group","Difference","P_value"
"89","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__","Control_days_0_to_7","16.6437179797328","0.558596419559175"
"90","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12","Control_days_0_to_7","-18.7493448623302","0.759960494620817"
"91","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes","Control_days_0_to_7","NaN","NaN"
"92","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Blvii28","Control_days_0_to_7","NaN","NaN"
"93","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__","Control_days_0_to_7","-16.186132132984","0.316946259245111"
"94","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__","Control_days_0_to_7","NaN","NaN"
"95","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas","Control_days_0_to_7","175.219895287958","0.0652025586555284"
"96","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter","Control_days_0_to_7","48.7393840906212","0.444604317155514"
"97","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella","Control_days_0_to_7","NaN","NaN"
"98","k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]","Control_days_0_to_7","-100","0.422649730810374"
"99","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__","Control_days_0_to_7","NaN","NaN"
"100","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter","Control_days_0_to_7","NaN","NaN"
"101","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Flectobacillus","Control_days_0_to_7","NaN","NaN"
"102","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter","Control_days_0_to_7","NaN","NaN"
"103","k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma","Control_days_0_to_7","NaN","NaN"
"104","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola","Control_days_0_to_7","NaN","NaN"
"105","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium","Control_days_0_to_7","NaN","NaN"
"106","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium","Control_days_0_to_7","NaN","NaN"
"107","k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Cloacibacterium","Control_days_0_to_7","NaN","NaN"
